Ano,Mês,UF,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTACAO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,CPMF,COFINS
2000,Janeiro,AC,231,0,292096,0,0,167,1558,177197,643,676835,1084940,27652,570,30894,1220,28447,103,1770475
2000,Janeiro,AL,475088,33873,1329338,812470,0,141735,3676847,460804,561,2672106,4454947,544056,191382,309573,26939,4252539,97248,7493570
2000,Janeiro,AM,11679405,0,1507146,1791471,27796,4414483,1800346,700623,90828,10058713,10174718,1241708,3580022,1029164,843881,40171,832562,44000981
2000,Janeiro,AP,24267,0,424862,1419,321,22333,12165,139226,44135,586572,1444486,205031,5825,34602,6999,6477,0,1682102
2000,Janeiro,BA,10476457,13,5542123,11533707,0,7496476,23743858,2498647,177378,25695696,27277025,13374802,2302766,2022200,1218485,2446535,11923442,81027229
2000,Janeiro,CE,5576921,0,4535653,3148254,0,1734529,3716458,1971500,59874,13247447,15940490,6311419,948600,1941958,745659,114393,4547426,36892799
2000,Janeiro,DF,2254341,43,3197500,2777942,0,2079272,2433339,3067374,3913461,71582680,257391352,124316928,7145075,35581549,22472279,64578,240726401,141910257
2000,Janeiro,ES,31950799,0,3598736,20408,1503039,26840430,4036463,1620843,2542,29105465,9380778,10515327,4717282,1703727,491261,1563052,28681,49157907
2000,Janeiro,GO,3747911,0,3236092,5064141,1091185,986314,2654994,1401385,45754,18823998,13094463,6275215,132749,1043647,638840,2269467,3912150,47986002
2000,Janeiro,MA,1714749,69,1124738,4061569,0,206691,484436,479170,4832,3251185,4149532,781569,1130,289120,86071,593391,612313,9654439
2000,Janeiro,MG,35549181,57,15511142,12111623,29305691,15049305,38667924,11038328,3416372,83378349,73410958,77963069,11600682,15573355,3835234,5262680,18475116,173737137
2000,Janeiro,MS,437668,0,899850,268111,0,365983,626188,1926537,7972,3983857,4331201,797218,26225,194378,52490,1376859,210638,13141747
2000,Janeiro,MT,302002,0,1837228,2734966,0,98807,322126,537577,5356,5998492,6702247,506327,287788,518377,122986,5965591,622603,14454666
2000,Janeiro,PA,1321715,0,2506107,1255572,0,771308,842141,885476,1687010,10397922,9891932,1452409,271488,689009,293485,892163,2996773,17597074
2000,Janeiro,PB,1351422,0,1971817,5556557,0,763383,1729472,531092,6819,8455014,9164933,1315192,215491,193623,113133,38801,186368,11047735
2000,Janeiro,PE,6268803,13,6167644,5650794,0,2688235,8230496,1679485,245392,15783042,26054337,38164839,983356,2266139,519577,7442780,2893853,51098148
2000,Janeiro,PI,382374,0,1001688,2261830,0,88220,261477,291999,16605,4285628,3839267,1119727,58819,165302,30629,469071,182915,8970699
2000,Janeiro,PR,45984119,0,10114872,5045577,12768408,23702615,26596165,5748682,3925211,60829302,39875650,54801093,5692244,3876963,9880454,1398281,73908984,134479291
2000,Janeiro,RJ,54679975,110,24542326,30839175,4605,28145513,47564082,36256377,19404254,181047892,247291061,290260344,58121620,0,12710303,164156,35680049,873100045
2000,Janeiro,RN,997074,0,1849649,1973085,0,586673,150429,493904,4783,3791527,9790539,3138513,201215,452018,11143,232929,65459,13165671
2000,Janeiro,RO,10184,0,604552,0,0,6453,26622,703484,0,2405470,7955556,377430,2316,75311,7432,3955659,39126,6446545
2000,Janeiro,RR,2047,0,248589,0,0,690,0,84094,2223,668266,1178651,72674,11610,24652,0,13251,4554,1235857
2000,Janeiro,RS,23706984,17019,15940060,13444334,479,12988034,50885273,7983115,2110667,113868661,68118112,46861858,3784824,8564748,5355726,2727118,31927953,200556246
2000,Janeiro,SC,10437923,0,6511482,5851028,23,5583498,20069652,2565756,365238,33677024,26629264,14441777,761978,2748866,862524,1010070,7064450,88190893
2000,Janeiro,SE,641774,0,981545,4912423,0,491998,736311,636954,5064,4426060,3836728,1480410,164422,142602,99725,100372,1036669,8814324
2000,Janeiro,SP,314476068,943,61452206,53883669,49619167,176643862,291724165,120292536,97732178,644103314,548114688,795174269,150982193,0,144267541,2612994,740365053,1362196861
2000,Janeiro,TO,93,161,390924,77031,0,31,23154,67719,0,941987,809722,9948,1261,65703,1562,156607,7961,2848843
2000,Fevereiro,AC,441,0,255361,0,0,0,11437,144788,615,420583,893024,11549,567,22353,1447,1948,243,1389041
2000,Fevereiro,AL,291946,0,1277065,729351,0,87642,3166326,613939,2004,1782438,4346350,316392,78845,300088,7670,12447,79757,6868060
2000,Fevereiro,AP,24385,0,346633,1936,321,29102,2038,133473,0,426290,1712222,10603,4145,53839,1497,2938,0,1264476
